month,Base_closing_cash,Upside_closing_cash,Downside_closing_cash,Base_net_cash_flow
2025-11-01,-6940000.0,-4273333.33,-9606666.67,-8940000.0
2025-12-01,-6495200.0,-3863733.33,-9098400.0,444800.0
2026-01-01,-6522328.0,-3901545.33,-9078792.0,-27128.0
2026-02-01,-6023500.42,-3387766.69,-8550298.46,498827.58
2026-03-01,-5498327.93,-2820849.69,-8012874.95,525172.49
2026-04-01,-4946415.35,-2199200.18,-7466476.83,551912.58
2026-05-01,-4367361.58,-1521176.19,-6911059.21,579053.77
2026-06-01,-3760759.5,-785086.48,-6346577.01,606602.08
2026-07-01,-3126195.89,10810.93,-5772984.89,634563.61
2026-08-01,-2463251.33,868310.26,-5190237.32,662944.56
2026-09-01,-1771500.1,1789259.57,-4598288.5,691751.23
2026-10-01,-2244510.1,1581562.35,-5191092.45,-473010.0
2026-11-01,-1487842.75,2641179.22,-4574602.91,756667.35
2026-12-01,-701052.89,3770129.6,-3948773.42,786789.86
2027-01-01,116311.31,4970493.49,-3313557.29,817364.21
2027-02-01,964708.48,6244413.29,-2668907.58,848397.17
2027-03-01,1844604.11,7594095.69,-2014777.11,879895.63
2027-04-01,2756470.67,9021813.56,-1351118.5,911866.56
2027-05-01,3700787.73,10529907.97,-677884.09,944317.06
2027-06-01,4678042.05,12120790.21,4973.99,977254.32
2027-07-01,5688727.68,13796943.91,697503.86,1010685.63
2027-08-01,6733346.09,15560927.23,1399753.88,1044618.42
2027-09-01,7812406.28,17415375.05,2111772.65,1079060.19
2027-10-01,8926424.88,19363001.3,2833609.01,1114018.59
